Register #,Annual DFO # (discontinued),Glide #,Country,Other,Nations, Affected,Detailed Locations (click on active links to access inundation extents),Validation (post event #3503),Began,Ended,Duration in Days,Dead,Displaced,Damage (USD),Main cause,Severity *,Affected sq km,Magnitude (M)**,Centroid X,Centroid Y,"""News"" if validated",M>6,Total annual floods M>6,M>4,Total annual floods M>4,Date Began,Total floods M>6,Total floods M>4,,,,,,
4309,,TC-2015-000163-IND,India,0,#N/A,#N/A,"Southern India, Tamil Nadu, Chenai",News,10-Nov-15,4-Dec-15,25,180,400000,,Tropical Storm Rovan,2,93202.05,6.7,78.8554,11.8278,News,1,44,1,91,10-Nov-15,1156,3776,,,,,,
4308,,0,Indonesia,0,#N/A,#N/A,"Langkat, North Sumatra",News,23-Oct-15,28-Oct-15,6,0,4000,,Heavy Rain,1,56237.12,5.5,98.4028,3.66137,News,0,43,1,90,23-Oct-15,1155,3775,,,,,,
4307,,0,Greece,Macedonia,#N/A,#N/A,"Athens, southern Italy, Macedonia, Albania",News,21-Oct-15,28-Oct-15,8,1,0,,Heavy Rain,1,129124.64,6.0,21.698,39.7609,News,1,43,1,89,21-Oct-15,1155,3774,,,,,,
4306,,TC-2015-000142-BHS,Bahamas,0,#N/A,#N/A,Bahamas southern and central islands.,News,2-Oct-15,8-Oct-15,7,0,300,,Tropical Storm Joaquin,1.5,4639.41,4.7,-73.8324,22.4916,News,0,42,1,88,02-Oct-15,1154,3773,,,,,,
4305,,0,Egypt,0,#N/A,#N/A,Alexandria,News,24-Oct-15,28-Oct-15,5,0,6,,Torrential Rain,1.5,8231.84,4.8,30.4819,31.0422,News,0,42,1,87,24-Oct-15,1154,3772,,,,,,
4304,,FL-2015-000145-SOM,Somalia,Ethiopia,#N/A,#N/A,"Northern Somalia, Ethiopian Highlands",News,15-Oct-15,28-Oct-15,14,0,0,,Heavy Rain,1,438557.45,6.8,45.4022,4.70359,News,1,42,1,86,15-Oct-15,1154,3771,,,,,,
4303,,FL-2015-000146-DZA,Algeria,0,#N/A,#N/A,"Tindouf, southwestern Algeria",News,16-Oct-15,28-Oct-15,13,0,3000,,Torrential Rain,1,92984.74,6.1,-6.95501,28.3337,News,1,41,1,85,16-Oct-15,1153,3770,,,,,,
4302,,TC-2015-000144-MEX,Mexico,USA,#N/A,#N/A,"Central Mexico, southern Texas",News,23-Oct-15,28-Oct-15,6,0,0,,Tropical Storm Patricia,1.5,1432949.6,7.1,-101.772,28.3812,News,1,40,1,84,23-Oct-15,1152,3769,,,,,,
4301,,0,"Uruguay,",Brazil,#N/A,#N/A,Northern Uruguay and neighbouring parts of Argentina and Brazil,News,14-Oct-15,28-Oct-15,15,0,10000,,Heavy Rain,2,392899.19,7.1,-53.5718,-29.9568,News,1,39,1,83,14-Oct-15,1151,3768,,,,,,
4300,,TC-2015-000143-PHL,Philippines,0,#N/A,#N/A,Luzon,News,22-Oct-15,28-Oct-15,7,54,60000,,Tropical Storm Koppu,2,80271.75,6.1,121.241,16.691,News,1,38,1,82,22-Oct-15,1150,3767,,,,,,
4299,,0,Romania,0,#N/A,#N/A,"Corbu, Black Sea Coast, eastern Romania",News,12-Oct-15,13-Oct-15,2,0,50,,Torrential Rain,1.5,441.218,3.1,28.7321,44.6422,News,0,37,0,81,12-Oct-15,1149,3766,,,,,,
4298,,0,New Zealand,0,#N/A,#N/A,"Gisborne Region, northeastern New Zealand",News,20-Sep-15,1-Oct-15,12,0,0,,Heavy Rain,1,837.216,4.0,177.922,-38.6637,News,0,37,1,81,20-Sep-15,1149,3766,,,,,,
4297,,0,Guatamala,0,#N/A,#N/A,"El Cambray II, Santa Catarina Pinula municipality, Guatemala",News,2-Oct-15,3-Oct-15,2,500,433,,Landslide,2,6023.19,4.4,-90.6128,14.8262,News,0,37,1,80,02-Oct-15,1149,3765,,,,,,
4296,,0,France,0,#N/A,#N/A," Cote d’Azur, southeastern France",News,3-Oct-15,7-Oct-15,5,16,0,,Torrential Rain,1.5,2895.95,4.3,6.5302,43.3765,News,0,37,1,79,03-Oct-15,1149,3764,,,,,,
4295,,0,USA,0,#N/A,#N/A,"South Carolina, USA",News,1-Oct-15,13-Oct-15,13,15,800,,"Heavy Rain, Tropical Storm Joaquin",2,61355.23,6.2,-80.4927,33.5033,News,1,37,1,78,01-Oct-15,1149,3763,,,,,,
4294,,0,Nigeria,0,#N/A,#N/A,Northeastern Nigeria,News,30-Aug-15,11-Sep-15,13,30,2000,,Heavy Rain,1.5,186816.02,6.6,11.5284,9.95267,News,1,36,1,77,30-Aug-15,1148,3762,,,,,,
4293,,0,Vietnam,Laos,#N/A,#N/A,Northern Vietnam and Laos,News,7-Sep-15,11-Sep-15,5,2,100,,Torrential Rain,1,192886.73,6.0,104.762,20.5669,News,0,35,1,76,07-Sep-15,1147,3761,,,,,,
4292,,TC-2015-000124-JPN,Japan,0,#N/A,#N/A,"Central and Eastern Japan, including Aichi Prefecture; Tokyo and north",News,9-Sep-15,11-Sep-15,3,3,100000,,Tropical Storm Etau,2,52859.22,5.5,140.046,36.9375,News,0,35,1,75,09-Sep-15,1147,3760,,,,,,
4291,,0,Niger,0,#N/A,#N/A,"Niger River; also Mali and Burkina Faso, and Guinea",News,25-Jul-15,19-Aug-15,26,4,3000,,Heavy Rain,1.5,686734.83,7.4,2.49701,14.8417,News,1,35,1,74,25-Jul-15,1147,3759,,,,,,
4290,,FL-2015-000110-ARG,Argentina,0,#N/A,#N/A,Buenos Aires Province,News,10-Aug-15,19-Aug-15,10,3,11000,,Heavy Rain,1,133852.96,6.1,-59.8071,-35.1086,News,1,34,1,73,10-Aug-15,1146,3758,,,,,,
4289,,0,Uruguay,0,#N/A,#N/A,"Departments of Treinta y Tres, Soriano, Tacuarembó and Durazno",News,17-Aug-15,19-Aug-15,3,0,4158,,Heavy Rain,1.5,63707.6,5.5,-55.6997,-32.6329,News,0,33,1,72,17-Aug-15,1145,3757,,,,,,
4288,,0,India,0,#N/A,#N/A,Assam,News,13-Aug-15,11-Sep-15,30,5,18000,,Monsoonal Rain,1,69190.14,6.3,93.751,26.8946,News,1,33,1,71,13-Aug-15,1145,3756,,,,,,
4287,,0,Philippines,0,#N/A,#N/A,"Southern Philippines, southern Bukidnon Province",News,2-Aug-15,5-Aug-15,4,7,0,,Torrential Rain,1,9791.46,4.6,125.052,7.39149,News,0,32,1,70,02-Aug-15,1144,3755,,,,,,
4286,,0,China,0,#N/A,#N/A, Outside the city of Xi'an in central China,News,2-Aug-15,5-Aug-15,4,8,0,,Torrential Rain,1.5,53741.01,5.5,112.531,35.0925,News,0,32,1,69,02-Aug-15,1144,3754,,,,,,
4285,,0,Guinea,0,#N/A,#N/A,City of Conakry and northwestern Guinea,News,26-Jul-15,5-Aug-15,11,4,0,,Heavy Rain,1,22455.5,5.4,-13.4378,10.0395,News,0,32,1,68,26-Jul-15,1144,3753,,,,,,
4284,,FF-2015-000115-MKD,Macedonia,0,#N/A,#N/A,City of Tetovo and Polog Region of north-western Macedonia,News,3-Aug-15,5-Aug-15,3,4,0,,Torrential Rain,1,5957.41,4.3,21.1907,41.7575,News,0,32,1,67,03-Aug-15,1144,3752,,,,,,
4283,,0,Myanmar,0,#N/A,#N/A,"Wide areas of Myanmar, including: Sagaing and Magway regions, and Kachin, Chin, Kayin, Rakhine and Shan states",News,15-Jul-15,19-Aug-15,36,88,85400,,Monsoonal Rain,2,296423.97,7.3,95.5326,20.1747,News,1,32,1,66,15-Jul-15,1144,3751,,,,,,
4282,,0,India,0,#N/A,#N/A,"Northern, western, and eastern India (at least 5 states)",News,15-Jul-15,19-Aug-15,36,206,300000,,Monsoonal Rain and Tropical Storm K,2,629961.61,7.7,82.6165,26.2074,News,1,31,1,65,15-Jul-15,1143,3750,,,,,,
4281,,0,Paraguay,0,#N/A,#N/A,Asunción; Paraguay River; also departments of departments of San Pedro and Guaira,News,25-Jul-15,5-Aug-15,12,0,3700,,Heavy Rain,1.5,28652.69,5.7,-58.273,-25.0451,News,0,30,1,64,25-Jul-15,1142,3749,,,,,,
4280,,FL-2015-000098-VNM,Vietnam,0,#N/A,#N/A,Northern Vietnam; Province of Quang Ninh,News,25-Jul-15,5-Aug-15,12,20,3000,,Torrential Rain,2,24336.74,5.8,106.865,20.8137,News,0,30,1,63,25-Jul-15,1142,3748,,,,,,
4279,,0,USA,0,#N/A,#N/A,"Southeast California, Southwest Arizona",News,17-Jul-15,21-Jul-15,5,0,0,,Torrential Rain,1.5,109391.2,5.9,-113.587,34.1148,News,0,30,1,62,17-Jul-15,1142,3747,,,,,,
4278,,0,Philippines,0,#N/A,#N/A,"Northern Philippines, including Pangasinan Province",News,12-Jul-15,21-Jul-15,10,4,3000,,Monsoonal Rain,1,16151.08,5.2,120.796,15.5509,News,0,30,1,61,12-Jul-15,1142,3746,,,,,,
4277,,FL-2015-000088-IRN,Iran,0,#N/A,#N/A,Ten provinces of Iran,News,14-Jul-15,21-Jul-15,8,20,0,,Torrential Rain,1,776608.3,6.8,54.0377,33.3604,News,1,30,1,60,14-Jul-15,1142,3745,,,,,,
4276,,0,Brazil,0,#N/A,#N/A,"Paraná, Santa Catarina and Rio Grande do Sul states, southern Brazil",News,10-Jul-15,21-Jul-15,12,3,1000,,Heavy Rain,1,690931.31,6.9,-50.751,-25.5689,News,1,29,1,59,10-Jul-15,1141,3744,,,,,,
4275,,0,Guyana,0,#N/A,#N/A,Georgetown and northern Guyana,News,16-Jul-15,21-Jul-15,6,0,0,,Heavy Rain,1.5,30931.23,5.4,-58.7431,6.66576,News,0,28,1,58,16-Jul-15,1140,3743,,,,,,
4274,,0,USA,0,#N/A,#N/A,"Southern Ohio, Brown County",News,18-Jul-15,21-Jul-15,4,3,0,,Torrential Rain,1.5,44261.07,5.4,-83.165,38.3887,News,0,28,1,57,18-Jul-15,1140,3742,,,,,,
4273,,0,Tajikistan,0,#N/A,#N/A,Gorno-Badakhsan Region,News,15-Jul-15,21-Jul-15,7,0,10000,,Snowmelt,1.5,56196.01,5.8,73.1149,38.0626,News,0,28,1,56,15-Jul-15,1140,3741,,,,,,
4272,,0,Pakistan,0,#N/A,#N/A,Khyber Pakhtunkhwa and Punjab provinces,News,15-Jul-15,19-Aug-15,36,166,803000,,Monsoonal Rain,1.5,137039.96,6.9,72.2737,34.3432,News,1,28,1,55,15-Jul-15,1140,3740,,,,,,
4271,,FL-2015-000076-CMR,Camaroun,0,#N/A,#N/A,Douala V district area,News,22-Jun-15,29-Jun-15,8,0,3000,,Heavy Rain,1,4726.19,4.6,9.88421,3.94741,News,0,27,1,54,22-Jun-15,1139,3739,,,,,,
4270,,0,Pakistan,0,#N/A,#N/A,Khyber Pakhtunkhwa Province in northwest Pakistan,News,25-Jun-15,29-Jun-15,5,10,0,,Torrential Rain,1.5,73485.14,5.7,72.8428,35.0129,News,0,27,1,53,25-Jun-15,1139,3738,,,,,,
4269,,0,Costa Rica,0,#N/A,#N/A,"Caribbean and Northern regions; 3 provinces of Limón, Heredia and Cartago",News,21-Jun-15,29-Jun-15,9,0,700,,Heavy Rain,1.5,16754.38,5.4,-83.8331,10.1743,News,0,27,1,52,21-Jun-15,1139,3737,,,,,,
4268,,0,Vietnam,0,#N/A,#N/A, Northern province of Son La,News,24-Jun-15,29-Jun-15,6,7,100,,Tropical Storm Kujira,1.5,6346.62,4.8,103.525,21.3114,News,0,27,1,51,24-Jun-15,1139,3736,,,,,,
4267,,0,USA,0,#N/A,#N/A,"Southern Michigan, central Indiana, western Ohio",News,27-Jun-15,29-Jun-15,3,2,0,,Heavy Rain,1,161572.75,5.7,-84.7486,39.3942,News,0,27,1,50,27-Jun-15,1139,3735,,,,,,
4266,,0,Russia,0,#N/A,#N/A,Sochi,News,25-Jun-15,29-Jun-15,5,1,0,,Torrential Rain,1.5,5567.64,4.6,39.3401,44.1285,News,0,27,1,49,25-Jun-15,1139,3734,,,,,,
4265,,0,India,0,#N/A,#N/A,Western Gujarat state,News,24-Jun-15,29-Jun-15,6,81,9000,,Monsoonal Rain,1.5,43781.56,5.6,70.7643,21.8734,News,0,27,1,48,24-Jun-15,1139,3733,,,,,,
4264,,0,New Zealand,0,#N/A,#N/A,Whanganui,News,22-Jun-15,29-Jun-15,8,0,100,,Heavy Rain,1.5,8948.6,5.0,175.231,-39.8648,news,0,27,1,47,22-Jun-15,1139,3732,,,,,,
4263,,0,Bangladesh,0,#N/A,#N/A,"Southeastern Bangladesh, Cox's Bazaar; ",News,24-Jun-15,29-Jun-15,6,0,23,,Torrential Rain,1.5,12508.17,5.1,91.9942,22.4079,News,0,27,1,46,24-Jun-15,1139,3731,,,,,,
4262,,FL-2015-000066-NPL,Nepal,0,#N/A,#N/A, Taplejung district of eastern Nepal,News,10-Jun-15,15-Jun-15,6,40,0,,Monsoonal Rain,1,12034.28,4.9,87.3919,27.4682,News,0,27,1,45,10-Jun-15,1139,3730,,,,,,
4261,,0,Georgia,0,#N/A,#N/A,Tbilisi,News,13-Jun-15,15-Jun-15,3,12,200,,Torrential Rain,1.5,13022.99,4.8,44.5362,42.0683,News,0,27,1,44,13-Jun-15,1139,3729,,,,,,
4260,,FL-2015-000065-GHA,Ghana,Togo,#N/A,#N/A,"Togo, Benin and Ghana. Accra. Parts of Côte d’Ivoire",News,2-Jun-15,15-Jun-15,14,150,5300,,Torrential Rain,1.5,266950.09,6.7,-0.546442,7.38005,News,1,27,1,43,02-Jun-15,1139,3728,,,,,,
4259,,FL-2015-000064-IND,India,0,#N/A,#N/A,"Assam, NE India, Barpeta, Sonitpur, Dhemaji, Lakhimpur, Tinsukia, Darrang, Nalbari, Goalpara, Jorhat, Kamrup, Baksa, Dibrugarh, Kamrup, Nagaon, Bongaigaon districts.",News,2-Jun-15,29-Jun-15,28,3,9000,,Monsoonal Rain,1.5,60437.23,6.4,93.8747,26.9195,News,1,26,1,42,02-Jun-15,1138,3727,,,,,,
4258,,0,Russia,0,#N/A,#N/A,"Novosibirsk, Tomsk",News,15-May-15,2-Jun-15,19,0,1200,,Heavy Rain,1,242622.13,6.7,81.5277,58.1901,News,1,25,1,41,15-May-15,1137,3726,,,,,,
4257,,0,Romania,0,#N/A,#N/A,"Northwestern Romania, including Salaj County",News,25-May-15,2-Jun-15,9,1,184,,Heavy Rain,1,19785.35,5.3,22.8609,46.8147,News,0,24,1,40,25-May-15,1136,3725,,,,,,
4256,,FL-2015-000055-TJK,Tajikistan,0,#N/A,#N/A,"Qubodiyon, Jilikul, Khuroson, Vaksh and Hamadony districts in Khatlon province and Hoit administrative center of the Rasht valley",News,11-May-15,21-May-15,11,0,1776,,Torrential Rain,1,32595.44,5.6,73.2634,37.8142,News,0,24,1,39,11-May-15,1136,3724,,,,,,
4255,,0,Chile,0,#N/A,#N/A,"Districts of La Puntilla, Aguas Muertas and Teniente Merino in Aysen region, also Araucanía, Los Ríos, Los Lagos",News,17-May-15,21-May-15,5,0,100,,Heavy Rain,1.5,224189.77,6.2,-72.9212,-44.1033,News,1,24,1,38,17-May-15,1136,3723,,,,,,
4254,,0,Tanzania,0,#N/A,#N/A,"Dar es Salaam and other regions of Tanzania, including Arusha, Kilimanjaro, Tanga and Kagera",News,7-May-15,21-May-15,15,12,5000,,Heavy Rain,1.5,194128.66,6.6,36.8905,-5.06017,News,1,23,1,37,07-May-15,1135,3722,,,,,,
4253,,0,New Zealand,0,#N/A,#N/A,Wellington,News,13-May-15,21-May-15,9,1,100,,Heavy Rain,1.5,7484.07,5.0,175.355,-41.092,News,0,22,1,36,13-May-15,1134,3721,,,,,,
4252,,FL-2015-000060-USA,USA,0,#N/A,#N/A,"Southern Plains, including Texas, Oklahoma, Arkansas states",News,5-May-15,29-Jun-15,56,38,600,,Heavy Rain,2,849464.57,8.0,-97.9863,34.1936,News,1,22,1,35,05-May-15,1134,3720,,,,,,
4251,,0,India,0,#N/A,#N/A,"Tamil Nadu, Bhadrairuppu in the Virudhunagar district",News,17-May-15,21-May-15,5,8,200,,Torrential Rain,1,14179.41,4.9,79.1771,10.7121,News,0,21,1,34,17-May-15,1133,3719,,,,,,
4250,,FL-2015-000056-COL,Columbia,0,#N/A,#N/A,"City of Salgar. Southern and western provinces, Amazonas Province",News,1-May-15,21-May-15,21,58,200,,Heavy Rain,2,140968.57,6.8,-74.5048,5.70693,News,1,21,1,33,01-May-15,1133,3718,,,,,,
4249,,FL-2015-000057-CHN,China,0,#N/A,#N/A,"Southern, Central China. Including  Jiangxi  province and Guangxi region; Guizhou and Jiangxi provinces; ",News,13-May-15,29-Jun-15,48,57,82000,,Heavy Rain,1.5,247569.94,7.3,114.981,27.0326,News,1,20,1,32,13-May-15,1132,3717,,,,,,
4248,,FL-2015-000049-KEN,Kenya,0,#N/A,#N/A,"Narok, SW Kenya",News,27-Apr-15,2-May-15,6,13,3000,,Heavy Rain,1.5,20432.58,5.3,36.2471,-0.795186,News,0,19,1,31,27-Apr-15,1131,3716,,,,,,
4247,,0,Australia,0,#N/A,#N/A,SE Queensland,News,1-May-15,2-May-15,2,5,0,,Torrential Rain,2,192631.23,5.9,150.513,-25.9441,News,0,19,1,30,01-May-15,1131,3715,,,,,,
4246,,0,Brazil,0,#N/A,#N/A,"Amazonas State, northern Brazil; Boca do Acre, in the Purus region most severely affected",News,1-Apr-15,2-May-15,32,5,1000,,Heavy Rain,1.5,450353.51,7.3,-67.7993,-6.97805,News,1,19,1,29,01-Apr-15,1131,3714,,,,,,
4245,,0,Pakistan,0,#N/A,#N/A,Peshawar,News,26-Apr-15,28-Apr-15,3,44,4800,,Torrential Rain,1.5,21148.15,5.0,71.8901,33.5131,News,0,18,1,28,26-Apr-15,1130,3713,,,,,,
4244,,0,Australia,0,#N/A,#N/A,New South Wales coast and near-coast areas,News,20-Apr-15,28-Apr-15,9,4,1000,,Heavy Rain,2,175487.07,6.5,150.612,-33.3812,News,1,18,1,27,20-Apr-15,1130,3712,,,,,,
4243,,0,Haiti,0,#N/A,#N/A,"West Department, Port-au-Prince",News,4-Apr-15,6-Apr-15,3,6,1000,,Heavy Rain,1,3672.34,4.0,-72.1912,18.685,News,0,17,1,26,04-Apr-15,1129,3711,,,,,,
4242,,0,Kazahkstan,0,#N/A,#N/A,Karaganda Oblas,News,23-Mar-15,15-Apr-15,24,0,5600,,Snowmelt,1,213897.13,6.7,65.5929,48.4049,News,1,17,1,25,23-Mar-15,1129,3710,,,,,,
4241,,0,Madagascar,0,#N/A,#N/A,"Central highlands, including  the capital, Antananarivo",News,5-Mar-15,15-Apr-15,42,0,25000,,Heavy Rain,1.5,68755.39,6.6,47.0106,-18.1557,News,1,16,1,24,05-Mar-15,1128,3709,,,,,,
4240,,0,China,0,#N/A,#N/A, Provinces of Hunan and Jiangxi,News,4-Apr-15,15-Apr-15,12,0,12000,,Tropical Storm Maysak,1.5,145834.77,6.4,110.676,27.9271,News,1,15,1,23,04-Apr-15,1127,3708,,,,,,
4239,,FL-2015-000029-IND,India,0,#N/A,#N/A, Indian-controlled Jammu and Kashmi,News,20-Mar-15,31-Mar-15,12,44,2907,,Heavy Rain,1.5,70287.98,6.1,76.4058,33.1767,News,1,14,1,22,20-Mar-15,1126,3707,,,,,,
4238,,FL-2015-000027-CHL,Chile,0,#N/A,#N/A,"Regions of Atacama, Antofagasta and Coquimbo in northern Chile",News,25-Mar-15,8-Apr-15,15,27,2514,,Heavy Rain,2,154773.16,6.7,-68.888,-22.3617,News,1,13,1,21,25-Mar-15,1125,3706,,,,,,
4237,,0,Brazil,0,#N/A,#N/A,"State of Acre, northern Brazil, Rio Branco",News,23-Feb-15,15-Apr-15,52,0,10000,,Heavy Rain,1,173696.63,7.0,-68.9127,-9.12272,News,1,12,1,20,23-Feb-15,1124,3705,,,,,,
4236,,0,Kenya,Tanzania,#N/A,#N/A,"Southern and western Kenya,Homa Bay,  rivers near Gongo and Kotien",News,5-Apr-15,15-Apr-15,11,13,6500,,Heavy Rain,1.5,32934.83,5.7,35.1089,0.04848,News,0,11,1,19,05-Apr-15,1123,3704,,,,,,
4235,,0,Brazil,0,#N/A,#N/A,"Boca do Acre,  Purus River, Amazonas State",News,15-Mar-15,23-Mar-15,9,0,280,,Heavy Rain,1.5,168905.06,6.4,-67.725,-7.68508,News,1,11,1,18,15-Mar-15,1123,3703,,,,,,
4234,,0,Tanzania,0,#N/A,#N/A,"Kahama district, Shinyanga region, northwestern Tanzania",News,3-Mar-15,23-Mar-15,21,38,0,,Torrential Rain,1.5,40007.02,6.1,33.748,-4.31417,News,1,10,1,17,03-Mar-15,1122,3702,,,,,,
4233,,0,Angola,0,#N/A,#N/A,Luanda,News,9-Mar-15,23-Mar-15,15,0,1000,,Torrential Rain,1.5,10252.79,5.4,13.6811,-8.81664,News,0,9,1,16,09-Mar-15,1121,3701,,,,,,
4232,,0,Angola,0,#N/A,#N/A,Lobito,News,9-Mar-15,23-Mar-15,15,60,1000,,Torrential Rain,1.5,12133.31,5.4,13.879,-12.1145,News,0,9,1,15,09-Mar-15,1121,3700,,,,,,
4231,,0,Indonesia,0,#N/A,#N/A,"Cimanuk River, Pilangsari village, Indramayu, West Java Province",News,15-Mar-15,23-Mar-15,9,0,4000,,Torrential Rain,1,7001.53,4.8,108.399,-6.55868,News,0,9,1,14,15-Mar-15,1121,3699,,,,,,
4230,,0,USA,0,#N/A,#N/A,"Kentucky, Ohio, southern Indiana; lower Ohio valley",News,10-Mar-15,23-Mar-15,14,0,0,,Heavy Rain,1.5,56870.12,6.1,-86.2332,37.0268,News,1,9,1,13,10-Mar-15,1121,3698,,,,,,
4229,,0,Mexico,0,#N/A,#N/A,"Colima, Jalisco,  Michoacán, Guerrero",News,13-Mar-15,23-Mar-15,11,0,800,,Heavy Rain,1,60978.86,5.8,-103.43,19.4811,News,0,8,1,12,13-Mar-15,1120,3697,,,,,,
4228,,0,Argentina,0,#N/A,#N/A,Central Argentina,News,15-Feb-15,24-Feb-15,10,7,700,,Heavy Rain,1.5,349365.45,6.7,-63.5929,-32.3809,News,1,8,1,11,15-Feb-15,1120,3696,,,,,,
4227,,0,Dominican Republic,0,#N/A,#N/A,Northeast Dominican Republic,News,20-Feb-15,24-Feb-15,5,0,12000,,Heavy Rain,1,11588.13,4.8,-69.8035,19.3285,News,0,7,1,10,20-Feb-15,1119,3695,,,,,,
4226,,0,Australia,0,#N/A,#N/A,"Central Queensland, also Northern Territory",News,22-Feb-15,24-Feb-15,3,0,350,,Tropical Storm Marcia,1.5,445272.72,6.3,135.716,-18.2,News,1,7,1,9,22-Feb-15,1119,3694,,,,,,
4225,,0,Bolivia,Peru,#N/A,#N/A,"Norhthern Bolivia, bordering areas of Peru and Brazil",News,20-Feb-15,24-Feb-15,5,0,4000,,Monsoonal Rain,1.5,487370.75,6.6,-65.8445,-11.5042,News,1,6,1,8,20-Feb-15,1118,3693,,,,,,
4224,,FL-2015-000004-MDG,Madagascar,0,#N/A,#N/A,Madascascar,News,5-Jan-15,9-Feb-15,36,0,20000,,Tropical Storms Fundi and Chedza,1.5,277594.75,7.2,45.9218,-19.6675,News,1,5,1,7,05-Jan-15,1117,3692,,,,,,
4223,,0,Australia,0,#N/A,#N/A,Norh Queensland,News,5-Feb-15,9-Feb-15,5,0,0,,Monsoonal Rain,1.5,122203.01,6.0,145.675,-17.8703,News,0,4,1,6,05-Feb-15,1116,3691,,,,,,
4222,,0,Indonesia,0,#N/A,#N/A,Gorontalo Province,News,5-Feb-15,9-Feb-15,5,0,300,,Heavy Rain,1,18063.44,5.0,122.862,0.686073,News,0,4,1,5,05-Feb-15,1116,3690,,,,,,
4221,,FL-2015-000009-ALB,Greece,Albania,#N/A,#N/A,Northeastern Greece,News,1-Feb-15,9-Feb-15,9,3,500,,Heavy Rain,1.5,151104.52,6.3,26.5972,41.4571,News,1,4,1,4,01-Feb-15,1116,3689,`1,,,,,
4220,,FL-2015-000008-BOL,Bolivia,0,#N/A,#N/A," Departments of La Paz, Santa Cruz, Chuquisaca, Potosí, Oruro and Cochabamba",News,5-Jan-15,9-Feb-15,36,23,1000,,Heavy Rain,1.5,137629.71,6.9,-63.7661,-16.4638,News,1,3,1,3,05-Jan-15,1115,3688,,,,,,
4219,,FL-2015-000006-MWI,Malawi,Mozambique,#N/A,#N/A,Southern Malawi and Mozambique,News,1-Jan-15,9-Feb-15,40,276,336000,,Heavy Rain,2,485939.39,7.6,35.3564,-18.7946,News,1,2,1,2,01-Jan-15,1114,3687,,,,,,
